FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,class
12,10,8,9,3,2.546426796912747,0,1,16,11.936268259653364,7,17,24,7,1
9,36,0,28,4,3.963714845787589,2,2,9,4.335134967713621,9,17,44,6,1
7,20,10,28,2,4.36150919750845,3,1,18,7.991191644389053,16,17,57,7,1
10,38,14,33,6,2.7513258967295897,3,1,11,3.7399944876888496,8,8,83,3,1
1,6,12,9,5,2.6787575608290886,4,3,5,9.755174778061392,9,9,93,3,1
4,30,11,32,8,4.4348403220591806,4,2,21,4.99458362244289,26,17,71,8,1
6,46,6,35,9,3.2744132853572587,3,2,15,13.701500537797894,19,16,37,9,1
7,34,12,6,5,3.0749035385025856,3,1,7,7.8589640336500395,7,15,14,2,1
13,10,0,27,9,2.7606174151295235,4,4,7,10.016048405311064,6,16,58,6,0
2,16,14,10,5,3.9067218894768234,0,2,7,9.301054145663752,11,19,14,6,1
10,35,0,24,6,2.755531660562999,0,2,12,14.84031576428594,24,16,47,3,0
11,47,12,31,9,3.4661083773270436,0,2,7,4.069640156945494,21,7,72,4,1
4,48,3,21,7,3.6213563734211487,2,3,5,6.768095103282139,12,19,84,9,1
14,13,7,38,5,3.785201739048183,3,2,11,5.8262067334984255,3,14,46,8,1
3,48,8,44,8,4.360123628071444,4,2,10,3.3322786411053045,28,18,52,1,1
18,37,12,47,8,3.1246686631448233,0,3,8,7.3809795988053235,17,14,51,2,1
4,22,9,26,2,4.306529312086123,3,1,22,13.789067519527118,9,5,40,3,1
19,26,2,42,1,2.688758409509723,2,1,16,10.56250497994973,18,15,61,1,0
11,27,7,19,2,4.876529436857226,3,3,20,8.127957911688094,10,11,81,2,1
5,49,9,26,5,4.100121992325141,2,1,19,11.333756903440714,18,6,53,7,1
15,9,1,26,2,3.252897549463613,3,2,6,4.342151325571595,11,19,88,5,1
12,16,2,35,9,4.7437720877708855,3,4,19,13.743586052507364,29,16,44,5,1
13,25,14,39,4,2.6338616272316875,1,3,17,4.9614703000069,7,6,92,5,1
13,15,0,44,6,2.6771792516371837,1,2,6,8.736750535367428,15,17,28,8,1
10,47,9,40,1,4.838044525427188,4,1,9,5.03503200984856,22,12,24,9,1
8,5,12,29,0,3.0502430352027425,1,1,13,12.546124460356838,14,18,53,5,0
15,13,1,19,3,3.8307756584497765,0,3,9,4.510064286164029,25,14,88,7,1
13,37,3,28,9,4.689292591397349,3,1,12,6.004014764816077,19,11,37,8,1
14,3,12,35,9,3.4823769124783825,3,1,19,5.075178175673344,13,6,56,8,1
9,38,5,17,0,3.8412033787114868,4,4,6,10.060951600087265,5,10,86,7,0
19,12,0,19,9,3.161492779702575,4,1,11,10.056657190161786,28,10,35,7,1
16,7,1,11,9,3.225709193286901,1,2,17,11.43766251944977,12,11,46,3,1
12,44,6,13,0,4.0167989494555805,0,4,18,13.575456090019632,21,17,37,8,1
15,34,14,25,5,4.224910892815906,1,1,12,7.644921223218975,13,9,29,2,1
5,48,0,41,8,4.384844211103561,4,3,24,13.663301885225417,20,11,63,9,1
9,49,10,9,7,3.272152248091158,0,1,21,8.324530262627835,21,14,27,5,1
19,21,7,17,8,2.634745725984472,3,4,20,6.462795350640317,15,17,30,1,1
17,23,0,30,1,3.474143555720288,1,4,23,7.224917757709182,7,18,94,7,1
8,45,4,18,7,2.8934462871721687,0,1,21,5.041214954258039,7,11,94,3,1
6,42,4,20,1,4.683938264399336,0,4,23,7.642900292212189,21,11,78,9,1
11,44,6,21,7,3.7425298720531224,4,1,22,7.508067022580718,18,18,11,9,0
17,9,8,45,0,2.7100042863015643,3,3,9,13.702502003210652,5,15,14,6,1
5,14,0,41,0,3.0538178797559175,0,1,7,10.989381642527725,27,5,36,4,1
11,45,4,19,5,4.5729544498747945,3,1,20,5.933273351660318,16,10,73,3,1
10,39,2,43,5,2.5577766711694805,3,1,12,13.587037480111169,20,14,59,3,1
12,14,7,32,2,4.831614293352919,0,2,16,14.570115133573813,13,5,51,5,1
18,26,1,27,6,2.622896309053569,0,3,10,3.6959838534843428,12,10,77,4,1
9,48,6,42,3,3.9731683468916676,2,2,8,14.691450672151202,23,5,22,4,1
15,32,12,20,5,2.9138012759182246,2,3,19,3.2085574822257557,15,18,98,3,0
14,7,10,25,0,4.8464639894462636,1,1,6,9.336406593645926,13,18,72,7,1
8,11,2,45,5,4.232429484434168,0,2,15,8.643961059657206,10,14,88,6,1
3,16,7,43,9,2.653857585337092,1,2,21,6.841500595136535,20,11,48,1,1
17,9,14,46,1,4.23910188361352,2,2,22,10.503405010555179,14,11,42,6,1
6,34,11,6,4,3.4951371016973445,0,2,20,4.693173557147103,5,18,13,1,1
14,47,3,9,6,4.238721147944126,3,2,15,6.523027661091385,16,7,92,9,1
16,20,3,44,1,3.2593023839779716,3,1,7,6.26122437208557,5,14,80,9,1
17,8,6,33,0,4.294842559056423,1,2,8,10.767054136488907,18,19,60,2,1
18,35,12,6,8,4.134752865923144,1,1,17,3.5309312282136998,14,15,76,9,1
13,14,0,43,1,4.059430476627132,1,4,18,10.268102666078065,9,11,48,8,1
14,3,11,35,1,2.5301748382515448,2,1,10,8.460391429463932,16,16,57,9,1
1,8,3,46,8,4.4741840344818895,1,2,19,11.487530468898425,5,11,77,7,1
17,14,1,27,0,3.2166514532175574,0,1,12,3.5472326859130345,16,12,26,9,1
16,16,7,8,9,3.128269217855392,2,4,19,14.812992410172798,15,16,53,6,1
19,48,6,27,0,3.872708056421807,1,2,17,3.532829587272364,24,12,80,9,1
