FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,class
38,66,11,12,14,4.589896174870095,3,5,14,11.862152678481824,10,2,63,14,1
7,25,4,6,0,3.14216499314118,0,2,12,4.377149518197364,3,9,26,4,0
41,61,7,12,12,5.071207301676647,2,6,15,11.40142028420545,13,7,60,12,1
6,23,4,5,4,3.670952510632735,0,3,9,3.1002635489200427,3,8,30,9,0
30,63,5,21,13,5.364859405320364,1,8,12,14.286955859779518,17,6,62,9,1
29,44,14,10,14,4.271910658501027,1,6,15,10.557584687076934,17,4,98,6,1
14,1,0,10,4,3.686662072248881,1,4,12,6.698108423264975,4,5,20,9,0
24,50,7,8,13,4.3512663014917745,3,4,12,12.02785574616972,12,6,89,19,1
13,15,0,17,2,3.9177170441079325,1,2,7,3.498817788514212,8,9,14,6,0
42,46,9,28,11,4.902262409706937,3,4,10,14.860592365999798,12,2,78,10,1
10,16,1,19,3,4.1908919487259695,0,2,7,6.139319130010508,5,3,22,1,0
29,29,6,18,10,3.9620680560547332,3,8,18,14.459812199714559,19,2,86,10,1
16,36,11,21,5,3.911304076894182,1,6,11,13.421598855346009,11,6,56,18,1
1,10,4,14,4,3.398799005684328,0,4,13,5.880796649129831,4,8,15,6,0
5,15,2,8,4,3.7508594965138498,1,4,12,3.566348765323429,9,6,10,1,0
17,14,2,7,2,3.0289567326225355,1,4,6,6.700089000791064,6,9,31,4,0
13,22,1,6,0,3.2274450048883314,1,2,6,6.466909503074277,9,8,28,1,0
19,17,2,16,2,2.883531823004585,0,3,11,4.643021697399213,9,4,26,1,0
39,41,14,27,10,3.9796461754698162,3,6,13,10.637932974418867,12,9,63,7,1
33,25,7,11,5,4.43587565119552,4,9,12,9.916019254955865,11,9,61,8,1
18,28,4,12,0,3.038333027815606,0,4,14,6.081270202854062,7,8,16,9,0
15,58,9,6,10,4.764656487044832,3,4,17,11.69562227926322,18,4,71,13,1
10,42,8,9,5,5.659646798657159,4,5,22,8.273437373046281,10,6,99,16,1
45,34,5,14,8,4.443483856658839,2,8,16,9.95640091010933,16,3,46,18,1
38,46,6,24,5,5.155620531724461,2,9,20,9.583863546376264,14,2,78,17,1
8,14,1,7,3,3.411181647307313,0,2,10,4.6549597380170145,9,2,37,6,0
47,40,7,13,8,4.521357980681324,4,8,17,9.943362907388812,19,7,70,5,1
11,25,3,12,1,3.2259430258871378,1,3,9,3.4599225533539997,4,7,25,1,0
11,12,2,12,1,3.9579926779728973,1,3,5,7.133712142879283,4,4,32,2,0
9,28,4,18,3,3.303439405400047,1,2,9,7.03389071253157,7,6,19,3,0
7,29,2,11,1,3.3897569229162943,1,2,14,4.491688717937494,4,5,18,9,0
15,23,0,14,1,3.5637711971852553,0,3,6,5.847606393410163,3,3,30,7,0
1,29,2,18,2,2.367742510301942,0,2,10,3.5996092946356506,4,6,17,7,0
8,12,3,10,2,3.565446743971898,0,3,11,5.846406914752622,3,5,24,4,0
49,42,11,14,9,3.5863501583428192,1,9,13,10.214291387281722,19,9,96,11,1
12,2,1,16,0,4.264683404174072,1,4,14,4.315180887694652,6,8,20,3,0
29,68,12,19,9,4.107308910196161,3,9,13,11.103826216878977,14,5,86,16,1
37,43,9,11,10,4.7952456995519,1,4,17,9.014742843667497,19,6,41,19,1
38,29,5,12,6,5.37430334630953,4,4,20,12.41815746787595,13,8,53,11,1
6,25,2,6,1,3.1397925715980812,0,4,10,4.181713716641048,4,9,35,3,0
11,4,4,13,0,3.376624668950562,0,2,14,4.31987759854915,6,7,19,1,0
14,68,12,13,5,4.621762641370437,1,7,17,12.396008740325154,13,2,95,17,1
19,16,3,17,1,2.8793830463195635,1,4,9,5.278128076776001,5,6,14,3,0
16,22,1,18,1,3.538476995112773,1,2,14,5.768389167697167,4,7,22,4,0
38,35,11,22,13,5.051170787878558,4,7,22,14.701317978698277,15,6,73,13,1
3,26,2,13,4,3.3986577990814446,0,4,10,3.4702991011429436,4,8,36,2,0
3,24,0,5,1,4.028596499492458,0,2,11,7.647037830351034,5,5,24,1,0
8,26,1,18,1,3.4434682679864848,0,3,5,7.413908498132484,7,7,19,9,0
15,2,3,7,1,3.8350500200625763,0,4,13,3.2735708741681995,9,8,34,7,0
43,35,5,24,8,4.616587548279485,4,8,11,13.457748322237702,19,9,77,13,1
28,47,11,6,7,4.2000820198144275,1,5,13,11.987351775412137,19,7,86,18,1
17,17,2,13,4,2.7843588061809728,1,2,11,6.469382676608079,5,9,22,6,0
40,55,8,6,9,3.46812149843334,3,7,15,11.105484942270493,15,7,59,13,1
5,29,0,14,4,3.3181444754562266,0,3,9,4.464064333685844,6,5,32,3,0
14,14,2,12,2,3.554000371973485,1,4,12,7.039690150071417,3,4,34,2,0
36,48,10,12,12,4.197192077938402,2,5,13,10.918105587722874,19,9,53,13,1
36,52,8,10,6,5.008980549462351,1,9,21,12.407007142065064,11,8,92,19,1
47,47,5,16,7,3.971124080512256,1,8,14,13.811087213204987,16,2,87,5,1
40,27,5,28,10,4.190373744658337,1,5,17,9.250906925783438,11,8,59,15,1
5,14,3,15,1,2.9662778272267243,1,4,7,6.320503355739454,9,6,34,3,0
30,44,8,13,8,3.8864185498414265,3,8,12,11.405344741967278,11,6,93,8,1
5,29,3,10,4,3.98509841334265,0,2,11,3.742415915026422,6,5,37,4,0
22,41,11,28,12,4.657469598140401,1,7,23,13.06459076412298,11,2,50,13,1
46,27,9,19,9,4.657999372529409,2,4,14,10.857708833553627,17,9,62,12,1
32,45,13,25,11,3.665058710703424,3,5,13,10.599893618407474,12,4,56,12,1
35,64,9,9,9,4.372649211505343,1,9,14,12.470728807547712,18,6,71,19,1
15,20,0,13,3,3.8972189539994306,0,2,13,4.9258131388627024,9,7,11,7,0
25,63,7,8,11,4.705874839920464,3,6,19,8.565329792457083,15,2,89,9,1
9,4,4,16,2,3.742732262323371,1,4,7,6.677391941666238,9,5,12,2,0
21,60,14,9,10,4.761115638328207,3,6,13,9.507033736900851,11,2,80,17,1
49,41,12,20,14,4.472899585719854,2,8,13,13.15128157445113,13,7,66,11,1
16,29,2,7,1,2.6315917957279873,0,4,10,3.8617460707248163,9,8,39,1,0
42,29,14,24,14,4.111123729609578,4,7,21,8.62330876369569,18,8,83,10,1
29,27,10,28,13,5.489982716406979,2,5,20,12.159226109831302,17,2,53,16,1
9,1,2,10,0,3.315323444976719,1,3,10,5.531752766404062,9,8,12,8,0
12,10,2,19,2,3.447643370687331,1,4,9,5.608716128954573,4,5,23,3,0
14,68,5,9,9,5.20977369077282,3,8,22,8.862071243900674,14,5,94,15,1
6,6,4,17,1,2.8154317313252677,1,4,6,3.743166077889425,3,2,19,7,0
16,16,2,8,0,4.106486364613094,1,4,13,3.792262200903815,4,4,15,8,0
36,57,5,14,7,5.171963857948393,1,4,15,10.999973990810556,14,8,74,10,1
9,10,4,8,2,3.812209706128276,0,3,11,5.543419753420395,6,2,39,5,0
8,12,1,12,4,3.7035527077230337,0,4,13,4.562718261183611,5,6,14,9,0
18,31,12,23,11,5.310581923263096,4,8,13,11.059933632556376,11,2,63,15,1
19,37,13,10,6,4.582718814736488,1,4,19,12.472067033692056,16,9,99,7,1
17,36,10,28,11,4.50409062938675,1,5,16,9.758828073032529,12,9,59,17,1
38,51,11,12,8,4.435817506021354,1,8,21,14.841357060271523,10,9,95,14,1
12,31,9,8,6,4.337628772487454,2,9,23,12.195499632289977,18,8,98,11,1
6,5,4,14,2,3.5432127093930954,1,4,12,7.839848983849778,5,5,22,5,0
18,16,3,18,1,3.6406107757382298,1,2,6,6.6635009193540355,9,8,35,9,0
22,54,14,17,8,4.659512729609123,1,8,20,13.295103926704911,15,7,91,8,1
33,58,8,29,10,3.9870012068785146,2,4,22,14.261487232229797,16,5,56,17,1
38,56,14,27,10,4.020107875240839,3,4,16,8.029953688045373,17,6,41,9,1
16,1,4,11,0,3.943515511066453,1,4,10,6.2063285462843485,4,5,26,7,0
7,24,1,11,2,4.289391788306126,1,3,12,3.089940657861938,5,9,38,6,0
15,41,6,29,12,4.494415219509591,2,8,19,13.227692862481451,19,3,73,19,1
19,39,9,8,13,4.1567114094070705,2,6,23,13.883181393422586,13,7,45,6,1
2,19,3,6,1,4.116106978169885,0,3,9,3.6428978925583455,4,9,37,9,0
36,69,6,20,13,3.4222367976290275,4,7,11,12.571319043080024,18,9,66,5,1
19,44,12,29,12,4.762760596842761,2,9,18,8.405886299388266,18,6,81,5,1
15,63,14,8,13,4.162790586537178,2,5,15,10.406768293003113,12,8,54,9,1
15,9,3,14,0,4.038193769804433,0,2,7,7.209126821826313,9,7,21,5,0
19,20,1,15,3,3.729695208163927,1,2,7,5.899171191405452,8,7,38,6,0
16,17,4,9,2,4.748408920178248,1,3,12,3.504738408180203,7,3,17,3,0
41,53,14,20,10,3.7621343947148476,1,9,20,8.403702875512886,18,5,57,16,1
1,17,3,12,1,3.367143081194271,1,4,6,5.362879265219278,6,6,13,4,0
10,4,3,13,2,4.16579401624385,1,2,8,6.405250558652226,3,4,15,2,0
16,17,2,13,3,3.6993475918111187,1,2,10,3.770737621681671,8,2,19,9,0
19,25,3,15,0,4.275124836386083,1,4,8,4.959990219445743,7,4,10,5,0
7,11,3,9,4,3.842421368665788,0,3,6,3.880413165158581,9,7,38,3,0
8,13,4,6,3,4.005351082293055,1,2,5,4.705100861280169,3,2,15,1,0
15,14,2,8,3,3.92533881873712,0,4,11,5.746342466742213,8,3,13,4,0
27,39,10,23,5,3.998797260432111,1,5,16,13.924708915508347,15,4,79,13,1
22,51,13,23,7,5.3885903389713175,2,9,10,8.144746296360857,19,4,55,7,1
10,38,7,10,14,4.392913260236686,2,6,19,8.13128989863129,12,7,97,8,1
5,9,1,17,3,3.413423449100151,1,2,10,4.126199511676232,7,2,15,7,0
4,5,0,15,0,2.977712890071642,1,3,7,5.393508602846661,8,8,10,8,0
37,48,7,6,5,4.336085894823184,4,5,13,11.015520124885015,12,6,74,14,1
7,12,2,13,0,3.356938204978526,0,4,14,6.198876007852112,6,5,24,5,0
16,10,1,16,3,3.5288871820067564,1,4,7,6.271149889999371,3,8,38,9,0
16,52,12,7,7,4.382091077728143,2,8,16,8.664129991032997,16,7,51,16,1
25,32,9,27,7,4.7639003682675085,1,9,20,13.673516677552147,17,7,47,9,1
21,25,5,9,7,4.983499774293231,4,8,22,12.21023721352863,13,6,47,13,1
13,58,6,27,10,3.715119417719757,4,9,11,13.968297533054677,13,9,49,5,1
1,29,3,6,0,3.2298734983321165,1,3,5,7.840561182030583,4,8,25,9,0
11,13,3,14,0,3.3166342259804904,1,4,13,6.68126973980231,7,2,13,3,0
35,32,13,21,7,3.960425928127699,3,6,13,13.977836894632196,11,2,81,8,1
10,9,1,19,1,3.5665534512319814,1,3,5,7.717765728247047,9,7,32,9,0
4,10,1,19,3,2.6303061944221025,0,3,5,5.636598397999299,9,7,39,9,0
14,50,5,29,7,3.6432653331830527,2,4,16,14.305505847906936,14,9,95,6,1
12,5,3,12,1,2.9961996526699846,1,3,13,3.5254877510681917,5,6,32,5,0
26,38,10,13,7,4.304700966118536,3,8,22,14.359220018706957,10,9,60,19,1
25,38,8,12,11,4.506406902075176,1,8,15,10.988030073674107,11,9,53,8,1
6,15,3,17,1,2.9787691915343824,0,4,8,7.6666470955817365,4,4,39,6,0
3,11,3,5,1,3.0196017695812114,1,3,13,3.358658689074542,4,3,29,8,0
13,20,1,5,4,3.8310586457410136,1,2,5,7.709082500250779,8,5,37,2,0
11,32,7,12,8,4.965352750322245,1,8,23,8.012734646328505,17,7,62,18,1
29,61,10,15,13,4.178991119104783,1,4,21,11.147236980856448,11,8,70,7,1
42,67,8,7,12,3.9544066726243186,4,9,18,8.962452106656652,13,6,55,5,1
39,61,10,10,11,3.43007310308342,1,5,18,13.794069863773894,12,5,95,13,1
35,59,6,7,11,4.415734444497118,2,5,18,8.129095722659766,14,5,78,19,1
40,34,6,18,14,4.454282901358678,2,4,13,13.899828142558917,18,6,96,17,1
8,8,2,8,2,3.769066482284233,0,4,11,4.513396051893773,9,8,21,3,0
24,66,10,22,14,3.963754988038542,3,7,16,8.713676063563778,12,3,63,12,1
6,24,1,7,2,2.9301541474763964,1,2,10,7.404407118873683,6,8,35,1,0
44,65,6,11,11,4.563622383456198,3,5,21,13.237466870594147,13,4,62,8,1
19,13,1,18,2,3.836303864391327,0,3,7,6.299349334145195,4,6,37,5,0
13,3,2,11,0,3.0704862305656455,1,2,10,4.506958978831796,8,3,18,1,0
49,48,5,5,11,4.507297992397634,3,4,14,12.881681178035585,16,6,80,10,1
18,17,3,8,2,3.598663175307439,0,4,12,3.6623447700892737,7,4,17,5,0
5,6,2,11,0,2.7827673290751567,0,3,5,6.575683884055878,3,2,36,8,0
25,60,7,9,9,4.3237032379605385,3,9,14,11.978062648677728,16,8,73,18,1
3,22,2,16,4,3.584464495685427,1,4,9,3.634219634462986,5,8,36,3,0
12,2,3,12,4,2.71029250525347,0,4,11,4.950430193901068,8,7,35,2,0
49,50,7,9,10,3.6578294058673855,3,5,11,11.508458566139431,18,3,90,17,1
14,26,3,7,1,3.9152539788300436,1,4,9,5.3387433768733175,7,7,13,3,0
11,21,4,14,2,3.0415910791297427,0,2,6,3.0488969015288094,7,9,24,4,0
17,17,1,19,3,3.6015746007956038,1,3,7,7.008097429910168,5,2,22,7,0
25,63,8,27,9,4.492929428916701,1,9,22,12.233385006502676,15,6,94,6,1
3,17,0,14,4,3.2482216870913136,1,4,12,3.48928501358225,3,3,10,9,0
15,48,9,9,9,4.697176374587101,1,4,22,13.839968667484245,19,4,46,10,1
18,12,2,7,0,2.467557268976557,0,3,12,7.319774110047553,3,3,10,6,0
5,23,3,13,1,3.092747894619195,1,4,10,6.671360152653577,6,5,28,8,0
14,11,0,7,2,3.403850482985459,1,2,9,3.5362341674792304,7,5,32,4,0
10,60,11,10,14,5.19808522824446,1,4,15,14.24398835240741,16,7,57,12,1
43,65,9,29,5,4.924258420594096,2,6,21,14.162294015502134,14,9,69,14,1
23,48,10,7,9,5.535588735672626,3,4,12,12.911340920142191,18,2,54,11,1
28,39,14,16,14,4.508548729931513,1,6,10,11.14264340118666,11,9,41,10,1
41,68,9,27,9,4.678174379945796,3,8,15,9.6650350375253,18,6,91,7,1
12,25,4,16,0,4.257391023097077,0,2,7,5.068222823638495,7,8,35,3,0
37,36,14,20,8,4.247122290807909,1,4,23,13.156384143643027,12,6,67,19,1
41,52,13,19,9,5.331427706011639,4,8,23,9.910108323569913,10,5,46,11,1
9,21,2,17,2,2.8975321993859806,0,3,14,5.771503529239762,3,6,39,7,0
34,32,6,18,7,4.290124413554095,1,5,21,12.73245580076891,13,3,53,7,1
